#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
2020.0,95,46.196493
980.0,52,46.213963
1090.0,129,46.240596
2010.0,42,46.25665
2280.0,109,46.280704
870.0,77,46.300311
2080.0,83,46.320742
2200.0,139,46.346684
1070.0,79,46.366375
3760.0,148,46.393198
3190.0,105,46.415644
1170.0,87,46.436443
2310.0,138,46.462247
3240.0,214,46.496023
950.0,95,46.518657
3360.0,226,46.554767
3450.0,195,46.842768
4470.0,286,46.887799
1040.0,90,46.910235
2290.0,60,46.928278
1030.0,47,46.945822
2250.0,80,46.969153
1000.0,60,46.988178
3510.0,225,47.025957
2020.0,49,47.046293
2120.0,91,47.069104
1040.0,122,47.094155
1030.0,37,47.110164
2070.0,90,47.132923
960.0,66,47.152177
1060.0,64,47.172628
1110.0,89,47.194843
1140.0,44,47.212259
2210.0,186,47.244139
990.0,273,47.284988
2150.0,48,47.30248
2130.0,68,47.578209
3630.0,171,47.60968
1090.0,121,47.634733
2090.0,222,47.669945
1130.0,51,47.687477
3200.0,128,47.712459
1150.0,61,47.730615
1150.0,81,47.752156
1150.0,231,47.787895
980.0,184,47.818685
2190.0,92,47.839783
2320.0,73,47.85976
2430.0,92,47.882062
2230.0,180,47.912329
4670.0,208,47.945317
2320.0,135,48.224916
3180.0,138,48.253723
2370.0,68,48.273042
1060.0,34,48.288953
940.0,36,48.307287
1130.0,87,48.328529
1040.0,54,48.34571
980.0,40,48.361309
2280.0,107,48.385799
3120.0,82,48.40596
3460.0,180,48.436149
2050.0,58,48.455602
2130.0,34,48.47077
2040.0,47,48.487262
920.0,50,48.504016
4770.0,206,48.537153
2000.0,275,48.578426
2240.0,115,48.602862
1160.0,74,48.622576
2040.0,85,48.643738
2240.0,51,48.662484
1120.0,274,48.956911
2180.0,117,48.982479
2160.0,59,49.000273
1080.0,42,49.016287
1000.0,26,49.030731
2130.0,110,49.05498
2260.0,49,49.07163
2430.0,166,49.10258
860.0,134,49.128061
3430.0,99,49.150445
2350.0,104,49.172844
890.0,111,49.195918
3540.0,174,49.225573
2080.0,63,49.243932
1120.0,98,49.266081
1010.0,41,49.28214
1990.0,54,49.300714
1110.0,67,49.319944
2050.0,68,49.340607
1080.0,90,49.363249
2980.0,42,49.384106
3840.0,208,49.423705
3560.0,190,49.720048
1040.0,144,49.74946
1190.0,47,49.766596
2230.0,110,49.789884
2110.0,154,49.818077
2200.0,193,49.850336
2360.0,151,49.877914
1100.0,192,49.909546
3620.0,146,49.936522
3080.0,234,49.972508
2000.0,65,49.991233
970.0,65,50.009795
3390.0,121,50.03527
2270.0,128,50.062551
1210.0,69,50.086363
1100.0,62,50.107689
1000.0,86,50.39763
3210.0,157,50.428192
2250.0,52,50.44716
2030.0,102,50.472137
2200.0,59,50.491885
1140.0,50,50.508807
2240.0,51,50.52616
2090.0,48,50.544433
2300.0,75,50.564846
3410.0,149,50.59331
7970.0,193,50.625398
2070.0,58,50.643729
